Rooms,Type,Price,Propertycount,Distance
3,t,,4387,13.4
4,h,1925000,4387,13.4
3,u,710000,4387,13.4
4,h,985000,2887,27
4,h,,9704,25
2,u,420000,4605,10.9
3,h,500500,3589,8.6
2,h,490000,3589,8.6
2,t,500000,3589,8.6
3,t,,10579,10.5
4,h,,10579,10.5
3,h,,10579,10.5
4,h,2250000,10579,10.5
4,h,,10579,10.5
2,u,,6938,10.3
4,h,,6938,10.3
4,h,,6938,10.3
3,h,1958000,6938,10.3
4,h,2137000,6938,10.3
4,h,,6938,10.3
4,h,2975000,6938,10.3
4,h,,4294,14
3,h,457000,4294,14
3,h,,11918,5.2
2,h,740000,11918,5.2
3,h,,11918,5.2
3,h,900000,11918,5.2
4,h,1250000,11918,5.2
4,h,,11918,5.2
2,h,1225000,11918,5.2
3,h,1120000,11918,5.2
2,t,560000,11918,5.2
3,h,1685000,11918,5.2
2,u,625000,11918,5.2
3,h,1470000,5533,4
2,h,860000,5533,4
3,t,900000,7082,5.2
2,u,398000,7082,5.2
2,h,576000,7082,5.2
4,h,1400000,7082,5.2
5,h,,7082,5.2
3,h,850000,7082,5.2
4,h,1150000,4480,10.8
2,t,525000,10175,12.1
4,h,740000,10175,12.1
2,u,340000,10175,12.1
5,h,1265000,5678,10.4
3,h,1000000,5678,10.4
4,t,1460000,4048,14.7
4,t,1200000,4048,14.7
4,h,935000,4048,14.7
3,u,780000,4048,14.7
2,u,868000,8920,7.7
3,t,1375000,8920,7.7
2,h,1235000,8920,7.7
3,h,1510000,8920,7.7
3,h,1520000,8920,7.7
2,u,835000,8920,7.7
2,u,495000,8920,7.7
6,h,,8920,7.7
4,h,2100500,8920,7.7
5,h,3300000,3265,8.4
2,u,,6786,1.6
2,h,1470000,3106,3.5
3,h,2410000,3106,3.5
4,h,1775000,7822,10.1
3,h,,7822,10.1
1,u,295000,7822,10.1
4,h,629000,7719,14.8
2,t,406000,7719,14.8
3,h,825000,1989,31.2
4,h,581500,8060,34.9
3,h,1400000,608,8.4
2,h,,6923,7.8
2,u,,5051,8.7
3,h,1538000,5051,8.7
3,h,1354000,3582,11.7
3,u,886000,3906,27
4,h,,9758,17.9
5,h,,39,44.2
7,h,4000000,5837,16.7
4,t,1010000,5837,16.7
2,t,697500,5837,16.7
4,h,,5837,16.7
3,h,800000,4734,17.5
4,h,,2954,3.6
3,h,1805000,2954,3.6
3,h,1400000,2954,3.6
3,h,1032500,11204,6.7
3,h,1070000,11204,6.7
3,h,1005000,11204,6.7
2,h,905000,11204,6.7
2,u,412000,11204,6.7
1,u,333000,11204,6.7
2,h,797500,11204,6.7
2,u,430000,11204,6.7
2,t,490000,3445,6.7
4,h,960000,3445,6.7
2,t,,4553,2
2,u,960000,4553,2
3,h,356500,15510,20.6
5,h,,15510,20.6
4,h,580500,15510,20.6
3,h,573000,15510,20.6
4,h,475000,15510,20.6
3,t,385000,15510,20.6
3,h,,7680,34.7
3,h,475000,6464,34.7
3,t,744000,11925,23
4,h,,11925,23
3,h,,11925,23
3,h,746000,11925,23
3,h,965000,11925,23
3,h,455500,2246,14
3,h,800000,10894,24.7
3,h,610000,10894,24.7
2,u,,10894,24.7
2,u,307000,8322,24.7
3,h,,2992,37.5
2,h,1610000,892,7.9
5,h,589000,6388,14.8
4,h,603000,6388,14.8
3,h,335000,2898,18
4,h,730000,4258,21.8
4,h,920000,3940,22.2
3,h,770000,3940,22.2
4,h,1140000,3940,22.2
4,h,910000,3940,22.2
4,h,883850,3940,22.2
4,h,1556000,9028,12.4
4,h,,9028,12.4
4,h,1249000,10999,14.3
3,t,950000,10999,14.3
3,t,820000,10999,14.3
4,h,1730000,10999,14.3
3,h,,10999,14.3
3,h,1260000,4790,16.1
4,h,1300000,4790,16.1
3,h,1820000,1651,8.9
1,u,675000,3040,1.3
4,h,4150000,3040,1.3
3,h,1130000,2546,27
3,t,1683000,4898,7.2
4,h,,4898,7.2
3,h,2250000,4898,7.2
3,h,840500,6990,18
3,h,900000,6990,18
3,h,837000,6990,18
4,h,1000000,2346,18
1,u,,8989,7.2
2,u,800000,8989,7.2
2,u,805000,8989,7.2
3,u,,8989,7.2
2,u,,8989,7.2
4,h,2985000,8989,7.2
5,h,,8989,7.2
4,h,690000,8443,28.5
3,h,497000,10926,19.6
3,h,507500,10926,19.6
5,h,1010000,10926,19.6
4,h,1930000,9264,7.5
4,h,1399000,9264,7.5
3,h,1512000,9264,7.5
4,h,2000000,9264,7.5
3,u,552000,9264,7.5
2,u,860000,9264,7.5
4,h,946000,1308,8.2
3,h,1430000,588,7.5
4,h,1270000,2970,5.7
3,h,635000,5070,13.1
3,h,630000,5070,13.1
3,h,705000,5070,13.1
3,t,625000,5070,13.1
3,h,665508,10788,24.8
3,h,691000,10788,24.8
3,h,,10788,24.8
4,h,815000,10788,24.8
3,h,730000,10788,24.8
4,h,,5825,2.1
1,u,720000,5825,2.1
3,h,1890000,6244,3.6
3,h,1454000,6244,3.6
4,h,2061000,6244,3.6
3,h,1310000,6244,3.6
2,u,995000,6244,3.6
4,h,3259000,6244,3.6
5,h,,6244,3.6
3,h,,6244,3.6
2,h,1325000,6244,3.6
1,u,331000,7570,5.1
3,h,1000000,7570,5.1
2,t,771000,7570,5.1
3,h,1260000,4385,15.4
3,h,508000,17055,38
2,h,501500,17055,38
3,h,450000,2500,36.9
4,h,351000,7566,38
4,h,650000,3285,12.9
3,t,,10412,7.3
3,h,3730000,10412,7.3
3,h,1225000,10412,7.3
3,t,,10412,7.3
4,h,1500000,10412,7.3
4,h,,10412,7.3
4,h,,10412,7.3
4,t,1100080,15321,16.7
4,h,1520000,15321,16.7
7,h,1716000,15321,16.7
5,h,1100000,15321,16.7
4,h,1467000,15321,16.7
3,h,1600000,15321,16.7
4,h,1311000,15321,16.7
3,h,,15321,16.7
3,t,582000,8870,11.2
3,h,536000,1071,12.9
3,h,696000,1071,12.9
3,h,757000,8524,16.1
4,h,860000,8524,16.1
3,h,768000,8524,16.1
4,h,812000,8524,16.1
3,h,782000,8524,16.1
3,h,725000,8524,16.1
4,h,680000,8524,16.1
3,h,882000,8524,16.1
4,h,,4864,20.4
4,h,632000,4864,20.4
4,h,,2606,11.2
4,h,812000,2606,11.2
3,h,837000,2606,11.2
3,h,473000,2606,11.2
4,h,,5454,13.8
3,h,2288500,5454,13.8
2,u,750000,5454,13.8
3,t,1510000,5454,13.8
3,h,1500000,5454,13.8
3,u,855000,11308,5.3
3,h,,11308,5.3
4,h,,11308,5.3
2,u,490000,11308,5.3
2,u,620000,11308,5.3
2,u,600000,11308,5.3
3,h,,11308,5.3
3,u,975000,11308,5.3
2,h,,3794,21.3
2,u,655000,2890,8.9
4,h,1420000,2890,8.9
3,h,786000,2947,8.8
2,u,,2947,8.8
3,h,959000,2947,8.8
3,h,720000,2674,8.8
4,t,,4794,16
3,h,1322000,4794,16
4,h,,4794,16
4,h,612500,5556,18
4,h,630000,5556,18
4,h,715000,13830,18.4
3,h,,13830,18.4
4,h,686500,13830,18.4
2,h,1065000,3145,12.3
4,h,1355000,3145,12.3
3,h,1145000,768,12.3
2,h,792000,5549,7.8
3,h,1440000,5549,7.8
4,h,,5549,7.8
2,u,660000,5549,7.8
3,h,1977000,5549,7.8
3,h,1840000,5549,7.8
4,h,1275000,5549,7.8
3,h,1781000,1554,7.8
3,h,575000,851,14
3,h,542000,851,14
3,h,569000,3656,15.5
3,h,950000,5629,11.7
4,h,850000,5629,11.7
3,h,,5629,11.7
3,h,756000,5629,11.7
3,h,,5629,11.7
3,u,680000,5629,11.7
1,u,360000,5263,3.4
1,u,325000,5263,3.4
4,h,1103000,5263,3.4
2,h,901000,5263,3.4
2,t,,5263,3.4
2,u,653000,10331,5.4
4,h,,10331,5.4
3,h,,10331,5.4
3,h,2000000,10331,5.4
3,h,,10331,5.4
4,h,1610000,10331,5.4
3,h,,10331,5.4
3,h,,10331,5.4
4,h,2315000,10331,5.4
3,h,1050000,10331,5.4
3,h,,10331,5.4
3,h,2155000,10331,5.4
3,u,830000,10331,5.4
5,h,,2671,7.3
4,h,1770000,2671,7.3
3,h,600000,8459,25.2
3,h,,1808,6.4
3,h,,1808,6.4
3,h,,1808,6.4
4,h,,2949,23.3
4,h,,3553,31.7
3,h,592000,8279,16.3
4,h,,6732,29.9
5,h,,4168,12.7
4,h,1120000,4168,12.7
3,u,710000,4168,12.7
3,h,915000,4168,12.7
2,u,,3873,6.4
1,u,360000,4675,5.9
4,h,2400000,4675,5.9
3,h,1350000,4675,5.9
1,u,450000,4675,5.9
4,h,,4675,5.9
3,h,,8801,8.4
3,h,2000000,8801,8.4
3,t,1150000,8801,8.4
3,h,813000,4918,4.3
2,u,330000,4918,4.3
5,h,1425000,4918,4.3
3,u,875000,2397,11.4
2,h,1265000,2397,11.4
3,h,1200000,2397,11.4
3,h,520000,4704,17.4
2,u,605000,17496,0
2,u,649000,17496,0
1,u,440000,17496,0
3,h,431000,3600,31.7
4,h,1300000,6162,20
1,u,337000,6162,20
3,t,,6162,20
4,h,525500,5812,25.9
2,u,800000,2019,3
3,h,425000,10529,17.9
3,h,595500,10529,17.9
3,h,660000,10529,17.9
4,h,,6871,17.2
3,h,1300000,6871,17.2
3,h,820000,3891,16.2
3,h,725000,3891,16.2
2,h,1180000,6232,6.2
2,h,910000,6232,6.2
3,h,887500,6232,6.2
3,h,1143000,6232,6.2
3,u,,6232,6.2
3,h,1117500,6232,6.2
3,h,1330000,6232,6.2
2,h,800000,2555,14.3
5,h,1410000,2555,14.3
1,t,457500,2555,14.3
3,h,778000,8280,26.5
3,t,822000,3650,21.5
3,h,895000,3650,21.5
4,h,1300000,3650,21.5
2,u,568888,13366,14.2
5,h,3105000,13366,14.2
4,h,1500000,13366,14.2
3,t,1030000,13366,14.2
2,u,,13366,14.2
4,t,,13366,14.2
5,h,,13366,14.2
4,h,1275000,13366,14.2
3,h,1360000,13366,14.2
5,h,,13366,14.2
5,h,,13366,14.2
4,h,980000,13366,14.2
3,t,,13366,14.2
5,h,1601000,13366,14.2
4,h,1780000,13366,14.2
3,h,630000,7113,18.8
4,h,925000,7113,18.8
3,h,868000,7113,18.8
5,h,880000,7113,18.8
3,h,920000,7113,18.8
4,h,1550000,4442,10.1
2,u,720000,4442,10.1
2,u,586500,4442,10.1
3,h,551000,9376,34.1
4,h,510000,9376,34.1
2,h,1032000,5498,6.2
3,h,1270000,5498,6.2
4,h,710000,11806,22.7
6,h,1815000,6821,1.8
1,u,420000,6821,1.8
2,h,1200000,11364,5.3
1,u,345000,11364,5.3
3,h,,11364,5.3
3,t,1075000,11364,5.3
3,h,1332000,11364,5.3
1,u,,11364,5.3
3,h,685000,4973,15.4
3,h,1185000,4973,15.4
3,h,806000,4973,15.4
3,h,857000,2651,11.2
4,h,945000,2651,11.2
4,t,986000,3224,12.3
2,h,1120000,3692,15.5
3,u,710000,3692,15.5
2,u,420000,3578,11.4
2,u,490000,3578,11.4
3,h,,3578,11.4
3,t,1100000,3578,11.4
3,h,378000,17384,47.3
3,h,1260000,5087,21.5
3,h,1200000,5087,21.5
2,u,669000,5087,21.5
1,u,668000,2309,1.8
4,h,945000,7485,8.5
2,t,650000,7485,8.5
4,h,1510000,7485,8.5
2,t,522000,7485,8.5
3,u,760000,7485,8.5
3,h,930000,7485,8.5
3,t,645000,3351,31.2
4,h,,777,20.1
3,h,641000,15542,14.7
4,h,720000,15542,14.7
2,u,625000,8648,3.5
3,h,1400000,8648,3.5
4,t,2090000,8648,3.5
1,u,505000,8648,3.5
3,h,1650000,8648,3.5
1,u,311000,7717,4.6
2,h,1325000,7717,4.6
3,h,,7717,4.6
2,u,940000,7717,4.6
3,t,893000,14577,8.4
2,u,410000,14577,8.4
3,t,640000,14577,8.4
3,h,1239500,14577,8.4
2,h,530000,14577,8.4
3,h,610000,21650,12
2,h,710000,21650,12
3,h,,21650,12
1,u,357500,21650,12
2,u,560000,21650,12
2,u,390000,21650,12
4,h,,21650,12
3,h,700000,21650,12
2,h,846000,21650,12
3,h,500000,21650,12
5,h,1100000,21650,12
3,h,,21650,12
2,t,655000,21650,12
2,h,520000,21650,12
3,h,850000,21650,12
3,t,,21650,12
3,h,886500,21650,12
2,h,1110000,14949,2.4
2,u,906000,14949,2.4
2,t,1100000,14949,2.4
2,u,610000,14949,2.4
1,u,550000,14949,2.4
2,u,514500,14949,2.4
3,h,,14949,2.4
3,h,1619000,14949,2.4
3,h,410000,1475,47.4
3,t,,7785,19.9
2,u,,7785,19.9
3,h,739000,7785,19.9
4,h,901000,4407,21.3
3,h,700000,4407,21.3
3,h,805000,3619,19.9
3,h,,3540,8.9
2,t,,3540,8.9
3,h,,11667,23.5
4,h,,11667,23.5
4,h,868200,11667,23.5
3,h,,5833,20.6
4,h,462000,5833,20.6
4,h,448000,5833,20.6
3,h,393500,5833,20.6
3,h,,5833,20.6
4,h,,4497,15.2
3,h,1450000,4497,15.2
3,t,,4497,15.2
3,h,821000,2206,22.2
4,h,701000,8077,35.4
3,h,865500,2417,5.1
2,u,362000,2417,5.1
2,u,,5943,1.9
2,u,651000,5943,1.9
4,h,711000,7969,20.5
4,h,560000,7969,20.5
3,t,387000,7969,20.5
4,h,,7969,20.5
5,h,920000,7969,20.5
4,h,706000,7969,20.5
5,h,5000000,14887,2.7
1,u,480000,14887,2.7
2,u,495000,14887,2.7
4,h,,14887,2.7
2,u,705000,14887,2.7
1,u,392000,14887,2.7
2,u,630000,8400,0.7
3,t,667500,1223,6.2
3,h,860000,7412,20.8
4,h,860000,14042,14
3,h,610000,14042,14
3,h,605000,14042,14
3,h,645000,14042,14
3,h,,14042,14
1,h,1100000,14042,14
3,u,640000,13240,5
1,u,,13240,5
2,u,501500,13240,5
3,t,890000,3284,8.2
4,h,1301000,3284,8.2
3,h,900000,389,8.2
3,h,890000,3755,10.5
3,h,,3755,10.5
2,u,430000,3755,10.5
3,h,1200000,3755,10.5
3,h,612000,3755,10.5
3,h,732000,4217,10.5
4,h,861800,4217,10.5
4,t,630000,6763,10.5
3,h,,6763,10.5
2,u,,5457,10.2
5,h,3250000,5457,10.2
4,h,,5457,10.2
4,h,1600000,5457,10.2
2,h,,5457,10.2
3,h,,5457,10.2
5,h,593000,3640,18
4,h,547000,3640,18
3,h,,5336,15.5
4,h,645500,5336,15.5
5,h,1952000,6202,15.5
3,h,1175000,6202,15.5
4,h,1750000,6202,15.5
4,h,1380000,6202,15.5
3,t,965000,6202,15.5
4,h,1051888,5420,12.4
5,h,1310000,5420,12.4
4,h,1150000,5420,12.4
4,h,1255000,5420,12.4
5,h,1351000,5420,12.4
3,h,1161500,5420,12.4
3,h,580000,7955,15.3
3,h,745000,7955,15.3
3,h,576000,7955,15.3
3,u,517000,7955,15.3
3,h,525000,7955,15.3
2,u,,8870,7
2,h,1260000,8870,7
3,h,,8870,7
4,h,1651118,8870,7
1,u,,7217,4.1
2,u,580000,7217,4.1
2,u,1850000,7217,4.1
3,h,,7217,4.1
3,u,855000,7217,4.1
3,h,1600000,7217,4.1
3,h,,5811,18.4
4,h,695000,3296,12.9
3,h,560000,3296,12.9
2,h,,3296,12.9
4,h,1120000,4280,17.2
4,h,,4280,17.2
5,h,,5424,14.7
4,h,921000,7082,14.7
3,h,,7082,14.7
5,h,1390000,7082,14.7
4,h,,2003,21.1
3,h,730000,2003,21.1
2,h,700000,16166,14.7
3,h,452000,16166,14.7
3,h,,16166,14.7
3,h,430000,16166,14.7
3,h,720000,5058,6.4
3,h,975000,5058,6.4
2,h,930000,5058,6.4
1,u,315000,2230,3.1
2,t,470000,2474,16.5
3,h,,2474,16.5
4,h,,7392,16.7
4,h,1185000,7392,16.7
3,u,,7392,16.7
4,h,1050000,7392,16.7
3,h,1131000,7392,16.7
5,h,1700000,6380,6.8
3,h,1520000,6380,6.8
3,h,1621000,6380,6.8
2,h,1670000,4380,4.6
2,u,652000,4380,4.6
4,h,660000,2940,25.5
4,h,567500,2940,25.5
3,h,472500,2940,25.5
5,h,,5262,27.2
3,h,380000,5262,27.2
2,h,,6543,6.3
3,h,1381000,6543,6.3
3,h,,6543,6.3
2,u,607500,6543,6.3
3,h,1120000,6543,6.3
2,h,802000,6543,6.3
6,h,1550000,6543,6.3
3,h,1350000,4019,3
3,h,858000,3464,10.4
2,u,593000,3464,10.4
3,h,640000,3464,10.4
3,h,961000,3464,10.4
2,h,1535000,3280,3
3,h,570000,2185,10.5
4,h,2345000,2211,5.7
4,h,,2211,5.7
3,h,,7630,15.5
3,h,900000,5132,9.4
3,h,,5132,9.4
2,t,650000,5132,9.4
2,h,480000,1281,12.8
5,h,5200000,4836,6.3
3,h,950000,6567,4.3
4,h,,6567,4.3
3,h,1225000,2894,10.2
5,h,1025000,1130,16.5
3,u,622000,4502,9.5
3,h,825000,4502,9.5
4,h,1475000,5682,7.9
5,h,3050000,5682,7.9
4,h,,7809,9.7
5,h,2160000,7809,9.7
3,t,1050000,7809,9.7
6,h,,7809,9.7
3,h,1275000,7809,9.7
3,t,640000,5030,23.2
3,u,500000,3598,23.2
4,h,825000,3598,23.2
1,u,,5366,17.3
2,u,800000,5366,17.3
4,h,1221000,5366,17.3
4,h,1800000,5366,17.3
5,h,,5366,17.3
4,h,1823000,5366,17.3
6,h,2000000,5366,17.3
3,h,1365000,6795,11.4
3,h,1045000,6795,11.4
5,h,1220000,10969,13.8
4,h,627500,17093,35.2
3,u,1095000,5713,13.4
4,h,,5713,13.4
3,h,1020000,4387,13.4
3,h,,4387,13.4
3,h,642000,9704,25
3,h,840000,1390,16.1
3,h,2650000,10579,10.5
1,u,380000,10579,10.5
5,h,3250000,10579,10.5
4,t,1731000,6938,10.3
3,t,465000,4294,14
3,h,518500,4294,14
3,u,665000,962,6.4
2,u,692000,11918,5.2
2,h,1305000,5533,4
3,h,,7082,5.2
3,h,1100000,7082,5.2
2,h,573000,7082,5.2
3,h,1060000,4480,10.8
4,h,,10175,12.1
3,h,805000,10175,12.1
3,h,682000,10175,12.1
3,t,510000,10175,12.1
3,h,535000,1686,14.8
4,h,1088000,4048,14.7
3,h,1180000,4048,14.7
3,h,630000,2674,14.8
2,u,677000,8920,7.7
3,h,,8920,7.7
2,u,670000,8920,7.7
3,t,1320000,8920,7.7
2,u,816000,3265,8.4
1,u,350000,6786,1.6
2,u,620000,6786,1.6
3,h,1760000,6786,1.6
1,u,300000,7822,10.1
3,h,545000,7719,14.8
4,h,1800000,5051,8.7
2,u,1091500,5051,8.7
3,h,,3582,11.7
5,h,1140000,9758,17.9
3,t,950000,9758,17.9
2,h,1171000,9758,17.9
2,u,425000,9758,17.9
3,h,1116000,9758,17.9
3,h,,2727,17.5
3,u,,5837,16.7
4,h,,5837,16.7
3,u,1030000,2954,3.6
4,h,689000,2987,43.4
2,h,900000,11204,6.7
2,u,620000,11204,6.7
4,h,922000,11204,6.7
3,t,,11204,6.7
3,h,1077000,11204,6.7
4,h,800000,3445,6.7
3,h,805000,3445,6.7
4,h,665000,15510,20.6
4,h,607000,15510,20.6
3,h,515500,15510,20.6
4,h,509500,15510,20.6
3,h,660000,15510,20.6
5,h,572000,7680,34.7
4,h,932000,11925,23
2,u,566100,11925,23
2,h,570000,11925,23
4,h,875000,11925,23
3,h,,1705,23
4,h,810000,2985,23
3,h,585000,10894,24.7
2,u,348000,10894,24.7
3,h,627000,8322,24.7
3,h,760000,8322,24.7
2,h,621000,4258,21.8
2,u,612000,3940,22.2
3,t,840000,9028,12.4
3,t,945000,9028,12.4
6,h,1856000,10999,14.3
7,h,2705000,4790,16.1
3,t,818000,4790,16.1
3,h,852000,4790,16.1
3,h,530500,7254,25.9
4,h,,1651,8.9
2,u,,3040,1.3
3,h,1092000,2546,27
3,h,975000,6990,18
3,h,805000,6990,18
4,h,770000,2346,18
2,h,,2346,18
2,u,,8989,7.2
2,u,,8989,7.2
1,u,425000,8989,7.2
2,u,,8989,7.2
3,h,,2259,36.9
3,u,,10926,19.6
4,h,940000,10926,19.6
2,u,437000,10926,19.6
5,h,660000,10926,19.6
3,h,1325000,9264,7.5
1,u,310000,9264,7.5
3,t,864000,9264,7.5
1,u,291000,9264,7.5
3,h,750000,588,7.5
4,h,,588,7.5
5,h,2200000,588,7.5
3,h,515000,845,28.8
3,h,580000,845,28.8
3,h,1550000,2970,5.7
2,h,672000,5070,13.1
3,h,720000,5070,13.1
2,u,414000,10788,24.8
2,h,1350000,6244,3.6
3,h,1852000,6244,3.6
2,h,1100000,6244,3.6
2,u,,7570,5.1
3,t,815000,7570,5.1
1,u,170000,7570,5.1
4,h,1372000,4385,15.4
3,t,850500,4385,15.4
2,u,400000,17055,38
3,h,640000,17055,38
3,h,,17055,38
3,h,611000,2500,36.9
3,h,,7566,38
3,h,755000,7566,38
4,h,521000,3376,45.9
3,h,625000,3285,12.9
3,h,650000,3285,12.9
4,h,1910000,10412,7.3
3,t,1900000,10412,7.3
2,u,500000,10412,7.3
2,u,523000,10412,7.3
4,h,,15321,16.7
4,h,1250000,15321,16.7
3,h,,15321,16.7
3,h,,15321,16.7
2,t,460000,8870,11.2
3,t,600000,8870,11.2
3,t,595000,8870,11.2
3,h,,8870,11.2
3,t,525000,8870,11.2
3,h,847000,8870,11.2
6,h,990000,8524,16.1
3,h,645000,8524,16.1
3,t,880000,8524,16.1
2,u,695000,8524,16.1
3,h,630000,4864,20.4
5,h,,4864,20.4
2,u,500000,2606,11.2
3,h,662500,3728,32.3
3,u,1210000,5454,13.8
3,t,1910000,5454,13.8
3,h,,5454,13.8
3,h,1140000,2356,13.8
3,h,,2356,13.8
2,h,,11308,5.3
1,u,395000,11308,5.3
3,u,1000000,11308,5.3
2,u,450000,11308,5.3
4,h,2900000,11308,5.3
2,u,820000,11308,5.3
2,u,450000,11308,5.3
3,h,650000,3307,45.2
3,h,,3794,21.3
5,h,,3794,21.3
4,h,,3794,21.3
4,h,,3794,21.3
3,h,,2890,8.9
3,h,790000,2947,8.8
2,h,780000,2947,8.8
3,h,726500,2674,8.8
3,h,710000,2674,8.8
2,u,,4794,16
2,u,,4794,16
2,u,645000,4794,16
5,h,650500,5556,18
3,h,471000,13830,18.4
3,h,683000,13830,18.4
3,h,440000,13830,18.4
4,h,,13830,18.4
3,h,750000,768,12.3
4,h,,5549,7.8
4,h,,1554,7.8
4,h,650000,851,14
2,t,390000,851,14
3,h,506000,3656,15.5
3,h,810000,3656,15.5
3,h,735000,3656,15.5
3,h,595000,3656,15.5
3,h,605000,3656,15.5
2,t,520000,5629,11.7
4,h,640000,570,15.5
3,t,967000,5263,3.4
2,h,850000,5263,3.4
1,t,500000,5263,3.4
2,u,535000,5263,3.4
2,h,758000,10331,5.4
3,h,,10331,5.4
3,h,975000,10331,5.4
2,u,862000,2671,7.3
4,h,965000,8459,25.2
4,h,761000,8459,25.2
3,h,520000,2878,14
3,h,530000,2878,14
2,u,,1414,12.1
3,h,1020000,1808,6.4
1,u,210000,1808,6.4
4,h,750000,8279,16.3
3,h,635000,8279,16.3
2,u,410000,8279,16.3
5,h,675000,8279,16.3
5,h,880000,1624,14.6
3,h,597500,2322,33.8
3,u,640000,4168,12.7
1,u,280000,3873,6.4
2,t,520000,3873,6.4
3,t,895000,3873,6.4
3,t,660000,3873,6.4
3,h,,8801,8.4
3,h,2110000,8801,8.4
4,h,,8801,8.4
3,h,1050000,4918,4.3
2,u,,4918,4.3
2,u,,4918,4.3
4,h,320000,3600,31.7
3,h,480000,3600,31.7
3,h,365000,4718,29.8
3,h,,6065,31.7
2,t,705000,6162,20
4,h,670000,5812,25.9
4,h,,5812,25.9
4,h,520500,5812,25.9
4,h,,1158,20.6
2,u,460000,10529,17.9
3,h,610000,10529,17.9
3,h,950000,6871,17.2
3,t,715000,6871,17.2
3,t,970000,6871,17.2
5,h,2200000,2079,10.2
4,h,2320000,2079,10.2
4,h,2752000,2079,10.2
3,h,655000,3891,16.2
3,h,960000,3891,16.2
3,h,,2493,28.8
4,h,1810000,6232,6.2
2,h,1020000,6232,6.2
2,h,1250000,6232,6.2
3,h,1175000,2555,14.3
4,h,800000,3650,21.5
4,h,1225000,3650,21.5
6,h,1200000,13366,14.2
5,h,,13366,14.2
3,h,1205000,13366,14.2
4,h,1720000,13366,14.2
5,h,1600000,13366,14.2
3,h,944000,13366,14.2
3,h,1385000,13366,14.2
3,h,1280000,13366,14.2
3,h,2000000,13366,14.2
5,h,,7113,18.8
3,h,650000,9376,34.1
3,h,655000,9376,34.1
3,h,580000,9376,34.1
2,h,710000,5498,6.2
2,u,335000,5498,6.2
3,h,1330000,5498,6.2
2,u,466500,11806,22.7
4,h,,11806,22.7
2,u,550000,6821,1.8
2,h,962000,6821,1.8
2,t,936000,6821,1.8
2,u,580000,6821,1.8
4,h,1900000,11364,5.3
3,h,1605000,11364,5.3
3,h,1415000,11364,5.3
2,u,390000,11364,5.3
2,u,637000,4973,15.4
4,h,1100000,4973,15.4
3,h,926000,4973,15.4
2,t,610000,2651,11.2
3,u,700000,2651,11.2
5,h,1525000,2547,12.3
6,h,1900000,2547,12.3
3,h,,3692,15.5
3,h,,3692,15.5
3,u,,3692,15.5
1,u,454000,3578,11.4
2,u,562000,3578,11.4
3,t,1000000,5087,21.5
3,h,985000,5087,21.5
3,h,820000,5087,21.5
3,h,870000,7485,8.5
3,h,800000,7485,8.5
5,h,1501000,7485,8.5
3,t,,7485,8.5
3,h,1663000,7485,8.5
4,h,780000,7485,8.5
4,h,,15542,14.7
5,h,660000,15542,14.7
4,h,,15542,14.7
4,h,,15542,14.7
4,h,663500,15542,14.7
3,u,1631000,8648,3.5
3,h,1665000,8648,3.5
4,h,2450000,8648,3.5
1,u,399000,7717,4.6
2,u,1240000,7717,4.6
3,h,727500,14577,8.4
3,h,,14577,8.4
3,t,965000,14577,8.4
2,h,2530000,1008,3.5
